Seq,Rank,University,City,Country,Score
1,237,University of Cape Town,Cape Town,South Africa,39.4
2,412,University of Johannesburg,Johannesburg,South Africa,27.7
3,416,The American University in Cairo,Cairo,Egypt,27.5
4,428,University of Witwatersrand,Johannesburg,South Africa,27.1
5,454,Stellenbosch University,Stellenbosch,South Africa,26.0
6,551,Cairo University,Giza,Egypt,
7,591,University of Pretoria,Pretoria,South Africa,
8,751,Université de Sousse,Sousse,Tunisia,
9,801,"Ain Shams University in Cairo (ASU, Cairo)",Cairo,Egypt,
10,801,Rhodes University,Grahamstown,South Africa,
