Seq,Rank,University,City,Country,Score
1,11,National University of Singapore (NUS),Singapore,Singapore,92.7
2,12,Peking University,Beijing,China (Mainland),91.3
3,14,Tsinghua University,Beijing,China (Mainland),90.1
4,19,"Nanyang Technological University, Singapore (NTU)",Singapore,Singapore,88.4
5,21,The University of Hong Kong,Hong Kong,Hong Kong SAR,87
6,23,The University of Tokyo,Tokyo,Japan,85.3
7,29,Seoul National University,Seoul,South Korea,82.2
8,34=,Fudan University,Shanghai,China (Mainland),81.5
9,36,Kyoto University,Kyoto,Japan,81.4
10,38,The Chinese University of Hong Kong (CUHK),Hong Kong,Hong Kong SAR,80.6
