Seq,Rank,University,City,Country,Score
1,67,Universidad de Buenos Aires (UBA),Buenos Aires,Argentina,68.9
2,104,Universidad Nacional Autónoma de México (UNAM),Mexico City,Mexico,58
3,115,Universidade de São Paulo,São Paulo,Brazil,56.1
4,121,Pontificia Universidad Católica de Chile (UC),Santiago,Chile,54.9
5,167,Universidad de Chile,Santiago,Chile,47.5
6,170,Tecnológico de Monterrey,Monterrey,Mexico,47.1
7,210,Universidade Estadual de Campinas (Unicamp),Campinas,Brazil,42.5
8,220,Universidad de los Andes,Bogotá,Colombia,41.6
9,243,Universidad Nacional de Colombia,Bogotá,Colombia,38.9
10,323,Pontificia Universidad Católica Argentina,Buenos Aires,Argentina,33.3
