Seq,Rank,University,City,Country,Score
1,30,Australian National University (ANU),Canberra,Australia,82.1
2,33,The University of Melbourne,Parkville,Australia,81.6
3,41,The University of Sydney,Sydney,Australia,79.6
4,45,The University of New South Wales (UNSW Sydney),Sydney,Australia,78.0
5,50,The University of Queensland,Brisbane City,Australia,74.8
6,57,Monash University,Melbourne,Australia,71.6
7,87,The University of Auckland,Auckland,New Zealand,62.7
8,90,The University of Western Australia,Perth,Australia,61.7
9,109,The University of Adelaide,Adelaide,Australia,57.0
10,137,University of Technology Sydney,Haymarket,Australia,53.2
