Seq,Rank,University,City,Country,Score
1,1,Massachusetts Institute of Technology (MIT),Cambridge,United States,100.0
2,2,University of Cambridge,Cambridge,United Kingdom,98.8
3,3,Stanford University,Stanford,United States,98.5
4,4,University of Oxford,Oxford,United Kingdom,98.4
5,5,Harvard University,Cambridge,United States,97.6
6,6,California Institute of Technology (Caltech),Pasadena,United States,97.0
6,7,Imperial College London,London,United Kingdom,97.0
8,8,UCL,London,United Kingdom,95.0
9,9,ETH Zurich,Zürich,Switzerland,93.6
10,10,University of Chicago,Chicago,United States,93.2
